brand,model,price_usd,rating,sentiment,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,helpful_votes,cluster,age,country,verified_purchase,source
Realme,Realme 12 Pro,337.31,2,Negative,1,1,3,2,1,1,0,45,India,True,Amazon
Realme,Realme 12 Pro,307.78,4,Positive,3,2,4,3,2,5,1,18,Brazil,True,Flipkart
Google,Pixel 6,864.53,4,Positive,3,5,3,2,4,8,1,27,India,True,AliExpress
Xiaomi,Redmi Note 13,660.94,3,Positive,1,3,2,1,2,3,0,19,UAE,False,Amazon
Motorola,Edge 50,792.13,3,Neutral,3,3,2,2,1,0,0,38,Brazil,True,BestBuy
Apple,iPhone 14,948.79,5,Positive,5,4,5,5,4,6,1,38,Brazil,False,AliExpress
OnePlus,OnePlus 12,420.13,3,Positive,3,3,2,1,2,2,0,40,UAE,False,eBay
Apple,iPhone SE,1443.76,2,Negative,2,1,2,2,2,3,0,39,Australia,True,Amazon
Realme,Realme 12 Pro,275.73,4,Positive,4,3,2,3,3,8,1,32,Germany,False,eBay
OnePlus,OnePlus Nord 3,545.57,3,Positive,2,2,3,3,2,4,1,31,Australia,True,BestBuy
Realme,Realme 12 Pro,462.3,3,Neutral,4,1,3,5,2,0,0,20,UK,True,eBay
Xiaomi,Mi 13 Pro,495.45,2,Neutral,1,2,1,2,1,2,0,30,Canada,True,Amazon
Motorola,Moto G Power,404.64,5,Positive,5,5,3,5,5,7,1,18,Brazil,True,AliExpress
Realme,Realme Narzo 70,247.88,2,Negative,1,3,2,1,2,2,0,32,Canada,False,store
Samsung,Galaxy Note 20,1146.49,3,Neutral,2,3,1,2,3,4,0,39,UK,True,BestBuy
Realme,Realme Narzo 70,262.0,2,Neutral,2,1,2,2,1,3,0,19,Brazil,False,Flipkart
Google,Pixel 7a,1010.68,4,Positive,4,4,3,4,4,9,1,18,USA,True,Flipkart
Motorola,Razr 40,678.98,3,Neutral,2,1,2,1,1,1,0,39,Brazil,True,AliExpress
Xiaomi,Poco X6,432.8,5,Positive,4,5,5,3,4,2,1,18,Germany,True,Amazon
Realme,Realme Narzo 70,403.17,5,Positive,5,5,5,5,4,3,1,43,Australia,True,eBay
Apple,iPhone SE,1470.12,1,Negative,1,1,1,1,1,3,0,46,UK,False,BestBuy
Motorola,Razr 40,567.03,5,Positive,3,4,5,4,4,5,1,22,Canada,True,AliExpress
Motorola,Razr 40,227.18,4,Positive,4,4,3,4,4,9,1,53,India,True,Amazon
OnePlus,OnePlus Nord 3,395.08,3,Neutral,4,4,3,3,3,9,1,25,Canada,False,Amazon
Apple,iPhone 15 Pro,997.61,3,Neutral,2,4,3,3,4,2,1,27,USA,True,eBay
Google,Pixel 8,506.5,2,Negative,1,3,3,1,1,3,0,27,Germany,False,AliExpress
Motorola,Razr 40,673.77,3,Positive,1,4,2,3,3,2,1,29,Canada,False,BestBuy
Xiaomi,Poco X6,236.38,3,Negative,3,1,1,2,2,4,0,25,UAE,True,BestBuy
Apple,iPhone 13,1094.1,3,Positive,4,3,3,3,1,3,1,29,Canada,True,Amazon
Samsung,Galaxy S24,1369.88,3,Positive,3,3,3,5,3,5,1,30,India,True,BestBuy
Realme,Realme Narzo 70,298.0,1,Negative,1,1,1,1,2,0,0,39,Canada,True,AliExpress
Google,Pixel 7a,1084.64,1,Negative,2,1,1,1,1,5,0,33,Canada,True,Amazon
Realme,Realme Narzo 70,571.75,3,Neutral,1,3,1,3,1,0,0,25,Australia,True,Amazon
Realme,Realme 12 Pro,543.18,1,Negative,1,1,1,1,1,3,0,45,India,False,Amazon
Samsung,Galaxy A55,1071.57,4,Positive,4,5,5,4,2,4,1,45,Canada,True,Flipkart
OnePlus,OnePlus Nord 3,438.64,4,Positive,2,2,1,3,4,8,1,40,Canada,False,AliExpress
Apple,iPhone 14,906.6,4,Positive,5,2,3,3,2,5,1,34,India,True,eBay
Xiaomi,Redmi Note 13,220.43,4,Positive,3,2,3,4,1,4,1,21,Brazil,True,eBay
OnePlus,OnePlus Nord 3,917.83,1,Negative,1,1,1,1,1,2,0,27,Germany,True,BestBuy
Samsung,Galaxy S24,1147.47,2,Positive,1,2,2,1,2,4,0,38,India,True,eBay
Google,Pixel 6,512.04,3,Positive,4,3,2,4,3,5,1,19,UK,False,Amazon
Google,Pixel 8,887.55,2,Neutral,2,1,1,1,1,2,0,18,Canada,False,AliExpress
Samsung,Galaxy S24,924.51,4,Positive,4,4,3,3,4,5,1,29,USA,False,Flipkart
Realme,Realme Narzo 70,358.68,3,Neutral,3,2,4,2,4,3,1,25,Canada,True,BestBuy
Apple,iPhone 14,1292.9,2,Neutral,2,1,2,1,1,3,0,28,Canada,True,BestBuy
Apple,iPhone 13,1401.76,4,Positive,3,1,5,3,2,8,1,43,Australia,True,AliExpress
Realme,Realme Narzo 70,238.49,3,Neutral,5,3,3,2,2,2,1,36,India,False,Amazon
Samsung,Galaxy Note 20,969.89,2,Neutral,3,1,1,1,2,3,0,38,USA,True,BestBuy
OnePlus,OnePlus 11R,574.7,5,Positive,5,4,2,5,5,4,1,31,Canada,True,BestBuy
Google,Pixel 7a,917.99,1,Negative,2,2,2,1,1,2,0,34,Germany,True,BestBuy
Google,Pixel 6,700.1,5,Positive,3,3,4,5,4,3,1,30,Brazil,True,Flipkart
Google,Pixel 8,1048.91,3,Positive,4,2,1,5,3,4,1,48,Australia,True,store
OnePlus,OnePlus Nord 3,473.95,5,Positive,5,2,2,3,3,6,1,18,India,True,store
OnePlus,OnePlus 11R,366.5,4,Positive,5,4,2,3,4,3,1,39,Brazil,False,Flipkart
Motorola,Edge 50,633.36,1,Negative,1,1,1,1,1,3,0,41,UK,True,BestBuy
Motorola,Moto G Power,355.65,3,Neutral,3,1,4,1,4,8,1,18,Canada,True,Amazon
Xiaomi,Redmi Note 13,211.23,5,Positive,4,4,3,5,3,4,1,36,UAE,False,eBay
OnePlus,OnePlus Nord 3,438.98,2,Negative,2,3,3,1,1,1,0,32,Canada,True,eBay
OnePlus,OnePlus Nord 3,458.08,3,Neutral,2,1,2,1,2,4,0,22,USA,True,eBay
Realme,Realme Narzo 70,270.27,5,Positive,3,4,4,3,5,2,1,36,India,True,BestBuy
Apple,iPhone 14,1282.55,3,Positive,3,2,3,3,3,3,1,48,Brazil,True,AliExpress
Apple,iPhone 15 Pro,1460.19,3,Positive,1,3,3,3,4,7,1,31,Canada,True,Amazon
Google,Pixel 6,923.35,2,Negative,1,3,1,2,2,2,0,18,Canada,True,BestBuy
Google,Pixel 7a,857.76,4,Positive,5,3,4,4,2,6,1,19,USA,True,BestBuy
Xiaomi,Poco X6,635.05,4,Positive,3,5,5,3,3,4,1,40,Germany,True,eBay
Realme,Realme 12 Pro,300.64,5,Positive,3,3,5,4,4,8,1,18,Germany,True,Flipkart
Xiaomi,Poco X6,503.87,3,Positive,2,2,2,4,4,4,1,24,Australia,True,Flipkart
Google,Pixel 7a,822.18,3,Neutral,2,1,2,2,3,1,0,21,UK,True,AliExpress
OnePlus,OnePlus 12,615.49,5,Positive,4,4,5,3,1,9,1,20,Canada,False,Flipkart
Apple,iPhone 14,1266.69,1,Negative,2,2,1,1,1,2,0,40,Canada,True,store
Samsung,Galaxy Z Flip,1217.97,1,Negative,1,1,1,1,1,2,0,30,UAE,True,Amazon
Motorola,Edge 50,656.62,4,Positive,3,3,3,2,3,4,1,29,Brazil,False,AliExpress
Xiaomi,Redmi Note 13,510.46,4,Positive,3,1,4,5,2,6,1,24,Canada,True,eBay
Realme,Realme Narzo 70,214.6,2,Neutral,2,2,1,3,1,1,0,18,UAE,False,eBay
Motorola,Razr 40,790.39,4,Positive,2,5,3,5,4,5,1,33,UAE,True,Flipkart
Motorola,Razr 40,752.51,3,Neutral,4,2,4,2,1,0,0,29,Germany,True,BestBuy
Xiaomi,Redmi Note 13,490.99,3,Positive,2,2,2,2,5,4,1,39,Germany,True,AliExpress
Apple,iPhone 13,1084.41,4,Positive,2,5,4,3,4,3,1,29,UK,True,Flipkart
Apple,iPhone 15 Pro,726.56,3,Positive,4,3,2,3,4,2,1,27,Brazil,True,Flipkart
Motorola,Moto G Power,524.78,3,Neutral,3,2,4,3,3,3,1,33,Brazil,True,AliExpress
Xiaomi,Mi 13 Pro,565.79,3,Positive,3,4,5,2,2,5,1,24,India,True,eBay
Google,Pixel 6,518.39,5,Positive,4,5,5,3,4,5,1,40,Canada,True,eBay
Apple,iPhone 15 Pro,1280.21,3,Positive,3,3,3,1,4,4,1,24,Australia,False,Flipkart
Google,Pixel 6,1082.84,5,Positive,5,5,4,5,2,5,1,29,India,True,eBay
Samsung,Galaxy Z Flip,1056.74,4,Positive,3,4,4,2,4,5,1,33,UK,True,Flipkart
OnePlus,OnePlus 12,525.34,5,Positive,5,4,5,3,5,5,1,30,UAE,False,BestBuy
Samsung,Galaxy S24,707.93,3,Neutral,1,2,4,2,3,5,0,36,India,True,Amazon
Google,Pixel 8,1021.34,3,Neutral,3,1,4,1,3,1,0,41,Canada,True,AliExpress
Samsung,Galaxy Z Flip,1377.17,3,Positive,3,4,3,2,3,7,1,33,Germany,True,Amazon
